episode,reward,score,steps,loss,epsilon
0,-1.1,0,11,0.0,1.0
1,-1.03,0,4,0.0,0.995
2,-1.05,0,6,0.0,0.990025
3,-1.01,0,2,0.0,0.985074875
4,-1.0,0,1,0.0,0.9801495006250001
5,-1.04,0,5,0.0,0.9752487531218751
6,-1.0,0,1,0.0,0.9703725093562657
7,-1.02,0,3,0.0,0.9655206468094844
8,-1.02,0,3,0.0,0.960693043575437
9,-1.02,0,3,0.0,0.9558895783575597
10,-1.02,0,3,0.0,0.9511101304657719
11,-1.1,0,11,0.0,0.946354579813443
12,-1.04,0,5,0.0,0.9416228069143757
13,-1.01,0,2,0.0,0.9369146928798039
14,-1.04,0,5,0.23325331509113312,0.9322301194154049
15,-1.0,0,1,0.22344714403152466,0.9275689688183278
16,-1.01,0,2,0.2041909247636795,0.9229311239742362
17,-1.01,0,2,0.20448239147663116,0.918316468354365
18,-1.08,0,9,0.1903521882163154,0.9137248860125932
19,-1.08,0,9,0.1717636204428143,0.9091562615825302
20,-1.02,0,3,0.16490907967090607,0.9046104802746175
21,-1.05,0,6,0.14367755750815073,0.9000874278732445
22,-1.05,0,6,0.15375827501217523,0.8955869907338783
23,-1.04,0,5,0.13538549840450287,0.8911090557802088
24,-1.09,0,10,0.10612477362155914,0.8866535105013078
25,-1.13,0,14,0.0842405233000006,0.8822202429488013
26,-1.01,0,2,0.07080313190817833,0.8778091417340573
27,-1.05,0,6,0.07170252377788226,0.8734200960253871
28,-1.06,0,7,0.058727716760975976,0.8690529955452602
29,-1.02,0,3,0.05587203428149223,0.8647077305675338
30,-1.07,0,8,0.050297852139919996,0.8603841919146962
31,-1.0,0,1,0.04282180964946747,0.8560822709551227
32,-1.0,0,1,0.05732681602239609,0.851801859600347
33,-1.1,0,11,0.04584675959565423,0.8475428503023453
34,-1.0,0,1,0.03262658417224884,0.8433051360508336
35,-1.05,0,6,0.041179355854789414,0.8390886103705794
36,-1.0,0,1,0.05364981293678284,0.8348931673187264
37,-1.1099999999999999,0,12,0.031184291932731867,0.8307187014821328
38,-1.0,0,1,0.03334489092230797,0.8265651079747222
39,-1.01,0,2,0.029413039796054363,0.8224322824348486
40,-1.1199999999999999,0,13,0.03308231154313454,0.8183201210226743
41,-1.07,0,8,0.03239339683204889,0.8142285204175609
42,-1.0,0,1,0.049331072717905045,0.810157377815473
43,-1.05,0,6,0.02478480463226636,0.8061065909263957
44,-1.01,0,2,0.02821052446961403,0.8020760579717637
45,-1.05,0,6,0.02818855084478855,0.798065677681905
46,-1.05,0,6,0.027089817139009636,0.7940753492934954
47,-1.0,0,1,0.02969769760966301,0.7901049725470279
48,-1.08,0,9,0.028180551404754322,0.7861544476842928
49,-1.07,0,8,0.03777773049660027,0.7822236754458713
50,-1.0,0,1,0.05100278928875923,0.778312557068642
51,-1.1099999999999999,0,12,0.027751034280906122,0.7744209942832988
52,-1.01,0,2,0.03265402279794216,0.7705488893118823
53,-1.06,0,7,0.02937027146773679,0.7666961448653229
54,-1.04,0,5,0.02818918079137802,0.7628626641409962
55,-1.05,0,6,0.027973125067849953,0.7590483508202912
56,-1.04,0,5,0.026865826547145845,0.7552531090661897
57,-1.08,0,9,0.026060379213756986,0.7514768435208588
58,-1.03,0,4,0.0225160198751837,0.7477194593032545
59,-1.25,0,26,0.021047787955747202,0.7439808620067382
60,-1.05,0,6,0.020393254856268566,0.7402609576967045
61,-1.1099999999999999,0,12,0.01629578477392594,0.736559652908221
62,-1.19,0,20,0.019613826321437954,0.7328768546436799
63,-1.02,0,3,0.022086674968401592,0.7292124703704616
64,-1.01,0,2,0.01704911980777979,0.7255664080186093
65,-1.06,0,7,0.020024750248662064,0.7219385759785162
66,-1.0,0,1,0.022181224077939987,0.7183288830986236
67,-1.06,0,7,0.029977173411420414,0.7147372386831305
68,-1.04,0,5,0.02405506819486618,0.7111635524897149
69,-1.04,0,5,0.02347995527088642,0.7076077347272662
70,-1.06,0,7,0.025034047663211823,0.7040696960536299
71,-1.01,0,2,0.018006877973675728,0.7005493475733617
72,-1.07,0,8,0.014196807169355452,0.697046600835495
73,-1.15,0,16,0.015427449718117714,0.6935613678313175
74,-1.04,0,5,0.017020707204937934,0.6900935609921609
75,-1.0,0,1,0.009467409923672676,0.6866430931872001
76,-1.03,0,4,0.013901680940762162,0.6832098777212641
77,-1.0,0,1,0.007292763330042362,0.6797938283326578
78,-1.01,0,2,0.016771303489804268,0.6763948591909945
79,-1.01,0,2,0.00963769294321537,0.6730128848950395
80,-1.02,0,3,0.010920696736623844,0.6696478204705644
81,-1.06,0,7,0.015914191957563162,0.6662995813682115
82,-1.03,0,4,0.01017279492225498,0.6629680834613705
83,-1.05,0,6,0.01088308123871684,0.6596532430440636
84,-1.05,0,6,0.007837266117955247,0.6563549768288433
85,-1.03,0,4,0.010024677845649421,0.653073201944699
86,-1.05,0,6,0.010833159787580371,0.6498078359349755
87,-1.07,0,8,0.014669077354483306,0.6465587967553006
88,-1.02,0,3,0.010260865402718386,0.6433260027715241
89,-1.02,0,3,0.01544667718311151,0.6401093727576664
90,-1.03,0,4,0.010509178740903735,0.6369088258938781
91,-1.0,0,1,0.016707591712474823,0.6337242817644086
92,-1.0,0,1,0.029028011485934258,0.6305556603555866
93,-1.0,0,1,0.0077179898507893085,0.6274028820538087
94,-1.18,0,19,0.012427328276987138,0.6242658676435396
95,-1.01,0,2,0.009358823299407959,0.6211445383053219
96,-1.1199999999999999,0,13,0.01372018621231501,0.6180388156137953
97,-1.0,0,1,0.022593796253204346,0.6149486215357263
98,-1.04,0,5,0.01220164317637682,0.6118738784280476
99,-1.1099999999999999,0,12,0.01267016096971929,0.6088145090359074
100,-1.07,0,8,0.012575995060615242,0.6057704364907278
101,-1.07,0,8,0.01221867895219475,0.6027415843082742
102,-1.0,0,1,0.01601448468863964,0.5997278763867329
103,-1.0,0,1,0.011944509111344814,0.5967292370047992
104,-1.05,0,6,0.013791269079471627,0.5937455908197752
105,-1.03,0,4,0.01583474548533559,0.5907768628656763
106,-1.0,0,1,0.015405023470520973,0.5878229785513479
107,-1.02,0,3,0.011062799642483393,0.5848838636585911
108,-1.07,0,8,0.013022599625401199,0.5819594443402982
109,-1.0,0,1,0.019812576472759247,0.5790496471185967
110,-1.01,0,2,0.021747469902038574,0.5761543988830038
111,-1.07,0,8,0.010108928196132183,0.5732736268885887
112,-1.01,0,2,0.008201167453080416,0.5704072587541458
113,-1.08,0,9,0.009255453323324522,0.567555222460375
114,-1.03,0,4,0.008779727621003985,0.5647174463480732
115,-1.05,0,6,0.013141482913245758,0.5618938591163328
116,-1.06,0,7,0.013139656412282161,0.5590843898207511
117,-1.1,0,11,0.008050575746561994,0.5562889678716474
118,-1.02,0,3,0.014466223306953907,0.5535075230322891
119,-1.0,0,1,0.015548146329820156,0.5507399854171277
120,-1.0,0,1,0.004683670587837696,0.547986285490042
121,-1.0,0,1,0.03322941064834595,0.5452463540625918
122,-1.13,0,14,0.010241944475897722,0.5425201222922789
123,-1.06,0,7,0.008724954511438097,0.5398075216808175
124,-1.01,0,2,0.006173180881887674,0.5371084840724134
125,-1.02,0,3,0.00769529165700078,0.5344229416520513
126,-1.13,0,14,0.00920403063563364,0.531750826943791
127,-1.08,0,9,0.008713958422756858,0.5290920728090721
128,-1.0,0,1,0.026411231607198715,0.5264466124450268
129,-1.0,0,1,0.01585470698773861,0.5238143793828016
130,-1.04,0,5,0.007469979673624038,0.5211953074858876
131,-1.02,0,3,0.0061118520485858125,0.5185893309484582
132,-1.01,0,2,0.01073744846507907,0.5159963842937159
133,-1.05,0,6,0.008790197510582706,0.5134164023722473
134,-1.02,0,3,0.005285817276065548,0.510849320360386
135,-1.1099999999999999,0,12,0.008954757320073744,0.5082950737585841
136,-1.09,0,10,0.0074527198914438484,0.5057535983897912
137,-1.16,0,17,0.006335419356165563,0.5032248303978422
138,-1.26,0,27,0.008187491455356832,0.500708706245853
139,-1.01,0,2,0.008704007603228092,0.4982051627146237
140,-1.07,0,8,0.007296235300600529,0.49571413690105054
141,-1.02,0,3,0.00799945400406917,0.4932355662165453
142,-1.03,0,4,0.007982263225130737,0.4907693883854626
143,-1.1,0,11,0.006567780859768391,0.4883155414435353
144,-1.02,0,3,0.00647907688592871,0.4858739637363176
145,-1.08,0,9,0.006590247231846054,0.483444593917636
146,-1.09,0,10,0.009281191136687994,0.4810273709480478
147,-1.04,0,5,0.004564689518883824,0.47862223409330756
148,-1.13,0,14,0.0064166579062917405,0.47622912292284103
149,-1.03,0,4,0.008202336146496236,0.4738479773082268
150,-1.01,0,2,0.004889859119430184,0.47147873742168567
151,-1.21,0,22,0.006151663954369724,0.46912134373457726
152,-1.03,0,4,0.00524241803213954,0.46677573701590436
153,-1.03,0,4,0.006094646058045328,0.46444185833082485
154,-1.24,0,25,0.0059209504630416635,0.46211964903917074
155,-1.0,0,1,0.0046805208548903465,0.4598090507939749
156,-1.02,0,3,0.005675026060392459,0.457510005540005
157,-1.01,0,2,0.0069901354145258665,0.45522245551230495
158,-1.03,0,4,0.006341133965179324,0.4529463432347434
159,-1.09,0,10,0.0058557641925290225,0.4506816115185697
160,-1.1099999999999999,0,12,0.004140378111818184,0.4484282034609769
161,-1.1199999999999999,0,13,0.004723567246960906,0.446186062443672
162,-1.07,0,8,0.005693069309927523,0.4439551321314536
163,-1.01,0,2,0.0074557955376803875,0.4417353564707963
164,-1.08,0,9,0.005701612241359221,0.43952667968844233
165,-1.01,0,2,0.005145015427842736,0.43732904629000013
166,-1.07,0,8,0.0049956440343521535,0.4351424010585501
167,-1.02,0,3,0.0037517940315107503,0.43296668905325736
168,-1.04,0,5,0.005067183915525675,0.43080185560799106
169,-1.03,0,4,0.00951512751635164,0.4286478463299511
170,-1.03,0,4,0.007268579560332,0.42650460709830135
171,-1.13,0,14,0.007413048979027995,0.42437208406280985
172,-1.0,0,1,0.005128199700266123,0.4222502236424958
173,-1.18,0,19,0.005698526229121183,0.42013897252428334
174,-1.0,0,1,0.004833145998418331,0.4180382776616619
175,-1.01,0,2,0.005860322853550315,0.4159480862733536
176,-1.24,0,25,0.004926768345758319,0.41386834584198684
177,-1.0,0,1,0.009060832671821117,0.4117990041127769
178,-1.03,0,4,0.003745962050743401,0.40974000909221303
179,-1.04,0,5,0.012966873217374086,0.40769130904675194
180,-1.01,0,2,0.003837944706901908,0.40565285250151817
181,-1.03,0,4,0.006491631036624312,0.4036245882390106
182,-1.08,0,9,0.006350733288046386,0.4016064652978155
183,-1.0,0,1,0.0024917968548834324,0.3995984329713264
184,-1.05,0,6,0.004748933327694734,0.3976004408064698
185,-1.05,0,6,0.006333187455311418,0.39561243860243744
186,-1.07,0,8,0.005328915663994849,0.3936343764094253
187,-1.15,0,16,0.005264837578579318,0.39166620452737816
188,-1.15,0,16,0.004080543862073682,0.3897078735047413
189,-1.02,0,3,0.003534552020331224,0.3877593341372176
190,-1.05,0,6,0.004802118016717334,0.3858205374665315
191,-1.13,0,14,0.004434835747815669,0.38389143477919885
192,-1.15,0,16,0.004020100546767935,0.3819719776053028
193,-1.02,0,3,0.005122225110729535,0.3800621177172763
194,-1.16,0,17,0.004726159468512325,0.37816180712868996
195,-1.06,0,7,0.0038961059014712062,0.37627099809304654
196,-1.3800000000000001,0,39,0.0036946743404349456,0.3743896431025813
197,-1.17,0,18,0.0031934072483434444,0.37251769488706843
198,-1.06,0,7,0.0029236586165747474,0.3706551064126331
199,-1.07,0,8,0.0022967774275457487,0.36880183088056995
200,-1.1099999999999999,0,12,0.0035592846494788923,0.3669578217261671
201,-1.03,0,4,0.0026468067371752113,0.36512303261753626
202,-1.06,0,7,0.0028571695521739976,0.3632974174544486
203,-1.05,0,6,0.004721081582829356,0.3614809303671764
204,-1.13,0,14,0.0032640709209122826,0.3596735257153405
205,-1.05,0,6,0.0030166500558455787,0.3578751580867638
206,-1.01,0,2,0.003496777848340571,0.35608578229633
207,-1.1,0,11,0.002891711171039126,0.3543053533848483
208,-1.09,0,10,0.002151155995670706,0.35253382661792404
209,-1.07,0,8,0.003156865219352767,0.3507711574848344
210,-1.05,0,6,0.003689881220149497,0.34901730169741024
211,-1.1,0,11,0.0031357867727902803,0.3472722151889232
212,-1.24,0,25,0.003316498501226306,0.3455358541129786
213,-1.0,0,1,0.00285374466329813,0.3438081748424137
214,-1.0,0,1,0.002863938920199871,0.3420891339682016
215,-1.1099999999999999,0,12,0.0047400012069071336,0.3403786882983606
216,-1.05,0,6,0.004709862832290431,0.3386767948568688
217,-1.04,0,5,0.003635849663987756,0.33698341088258443
218,-1.09,0,10,0.0038081862963736056,0.3352984938281715
219,-1.04,0,5,0.0036273950710892676,0.33362200135903064
220,-1.02,0,3,0.003668559559931358,0.33195389135223546
221,-1.22,0,23,0.004470639092766721,0.3302941218954743
222,-1.22,0,23,0.0038344976998379698,0.32864265128599696
223,-1.01,0,2,0.002360649057663977,0.326999438029567
224,-1.21,0,22,0.003435741766059602,0.3253644408394192
225,-1.13,0,14,0.0029579840899844256,0.3237376186352221
226,-1.05,0,6,0.002344817000751694,0.322118930542046
227,-1.06,0,7,0.002548294624180666,0.32050833588933575
228,-1.03,0,4,0.0032419086201116443,0.31890579420988907
229,-1.08,0,9,0.003925495367083285,0.3173112652388396
230,-1.05,0,6,0.0030941625397341945,0.3157247089126454
231,-1.21,0,22,0.004275280146182261,0.3141460853680822
232,-1.01,0,2,0.002533789607696235,0.3125753549412418
233,-1.02,0,3,0.002850812471782168,0.31101247816653554
234,-1.0,0,1,0.0024730893783271313,0.30945741577570285
235,-1.2,0,21,0.0044915772575352874,0.3079101286968243
236,-1.1199999999999999,0,13,0.0035509730939968275,0.3063705780533402
237,-1.19,0,20,0.003972067567519844,0.30483872516307353
238,-1.08,0,9,0.0047429095591521924,0.3033145315372582
239,-1.05,0,6,0.0033168425240243473,0.3017979588795719
240,-1.1199999999999999,0,13,0.0033578951484881914,0.30028896908517405
241,-1.04,0,5,0.0029843962285667656,0.2987875242397482
242,-1.15,0,16,0.0030176097352523357,0.29729358661854943
243,-1.16,0,17,0.002920941949602874,0.29580711868545667
244,-1.04,0,5,0.0046293008606880905,0.2943280830920294
245,-1.15,0,16,0.003619604838604573,0.29285644267656924
246,-1.0,0,1,0.003063313430175185,0.2913921604631864
247,-1.1199999999999999,0,13,0.003597315329198654,0.28993519966087045
248,-1.01,0,2,0.0032298273872584105,0.2884855236625661
249,-1.03,0,4,0.0030846056761220098,0.28704309604425327
250,-1.01,0,2,0.0018780031823553145,0.285607880564032
251,-1.16,0,17,0.0032784051453585133,0.28417984116121187
252,-1.03,0,4,0.002970465400721878,0.2827589419554058
253,-1.25,0,26,0.0035297598850984988,0.28134514724562876
254,-1.25,0,26,0.004166436596558644,0.2799384215094006
255,-1.09,0,10,0.0028940756572410466,0.27853872940185365
256,-1.09,0,10,0.0032148365629836918,0.27714603575484437
257,-1.04,0,5,0.0032365205232053997,0.2757603055760701
258,-1.0,0,1,0.002692061010748148,0.2743815040481898
259,-1.27,0,28,0.0028020852935566965,0.2730095965279488
260,-1.3,0,31,0.0026382008499856438,0.27164454854530906
261,-1.07,0,8,0.0028429991798475385,0.2702863258025825
262,-1.31,0,32,0.0030243045912357047,0.2689348941735696
263,-1.0,0,1,0.002024141140282154,0.26759021970270175
264,-1.04,0,5,0.0025185422739014028,0.2662522686041882
265,-1.04,0,5,0.004781681811437011,0.2649210072611673
266,-1.0,0,1,0.0014903356786817312,0.26359640222486147
267,-1.03,0,4,0.0025927506503649056,0.26227842021373715
268,-1.09,0,10,0.0025666003464721145,0.2609670281126685
269,-1.13,0,14,0.0034849600467298713,0.25966219297210513
270,-1.22,0,23,0.0044513509163390036,0.2583638820072446
271,-1.07,0,8,0.003983529983088374,0.2570720625972084
272,-1.04,0,5,0.0037497540935873984,0.25578670228422234
273,-1.07,0,8,0.004116288793738931,0.25450776877280124
274,-1.17,0,18,0.0031558929476886988,0.2532352299289372
275,-1.05,0,6,0.002975021915820738,0.2519690537792925
276,-1.04,0,5,0.004181509325280786,0.2507092085103961
277,-1.07,0,8,0.0030772979953326285,0.2494556624678441
278,-1.1099999999999999,0,12,0.003221756312996149,0.24820838415550486
279,-1.0,0,1,0.004362113773822784,0.24696734223472733
280,-1.17,0,18,0.0026683155770620536,0.2457325055235537
281,-1.15,0,16,0.0027224042860325426,0.24450384299593592
282,-1.02,0,3,0.0027732262387871742,0.24328132378095624
283,-1.0,0,1,0.0039155567064881325,0.24206491716205145
284,-1.02,0,3,0.0026007172806809344,0.2408545925762412
285,-1.3,0,31,0.0032649784003414453,0.23965031961336
